timestamp,action,direction,price,contracts,cost,capital_after,predicted_return,volatility,pnl_points,gross_pnl,net_pnl,reason,consecutive_losses
2019-11-27 22:24:00,OPEN,SHORT,27030.0,1,185.1499999999815,5668506.255,-0.0019854557993558694,0.002648974105057573,,,,,
2019-11-27 22:25:00,CLOSE,SHORT,26962.0,1,184.80999999998144,5671721.445,,,68.0,3400.0,3215.1900000000187,signal,0.0
2019-11-27 22:27:00,OPEN,SHORT,27030.0,1,185.1499999999815,5671536.295,-0.001897770562749031,0.002510859956292082,,,,,
2019-11-27 22:28:00,CLOSE,SHORT,26960.0,1,184.79999999998145,5674851.495,,,70.0,3500.0,3315.2000000000185,reverse,0.0
2019-11-27 22:28:00,OPEN,LONG,26960.0,1,184.79999999998145,5674666.695,0.0005679150924653278,0.0025564901448576287,,,,,
2019-11-27 22:29:00,CLOSE,LONG,27025.0,1,185.1249999999815,5677731.57,,,65.0,3250.0,3064.8750000000186,reverse,0.0
2019-11-27 22:29:00,OPEN,SHORT,27025.0,1,185.1249999999815,5677546.445,-0.001567270805873112,0.0025292971957107577,,,,,
2019-11-27 22:30:00,CLOSE,SHORT,26962.0,1,184.80999999998144,5680511.635000001,,,63.0,3150.0,2965.1900000000187,signal,0.0
2019-11-27 22:31:00,OPEN,SHORT,27018.0,1,185.0899999999815,5680326.545000001,-0.0015026590800004361,0.002649201139437237,,,,,
2019-11-27 22:32:00,CLOSE,SHORT,26946.0,1,184.72999999998146,5683741.815000001,,,72.0,3600.0,3415.2700000000186,reverse,0.0
2019-11-27 22:32:00,OPEN,LONG,26946.0,1,184.72999999998146,5683557.085000001,0.0002788716217183292,0.0026196421869829514,,,,,
2019-11-27 22:34:00,CLOSE,LONG,27017.0,1,185.0849999999815,5686922.000000001,,,71.0,3550.0,3364.9150000000186,reverse,0.0
2019-11-27 22:34:00,OPEN,SHORT,27017.0,1,185.0849999999815,5686736.915000001,-0.0005362388057452508,0.0023908794376111004,,,,,
2019-11-27 22:40:00,CLOSE,SHORT,26944.0,1,184.71999999998147,5690202.195000001,,,73.0,3650.0,3465.2800000000184,reverse,0.0
2019-11-27 22:40:00,OPEN,LONG,26944.0,1,184.71999999998147,5690017.4750000015,0.0003912160085734748,0.0011126175917740005,,,,,
2019-11-27 22:41:00,CLOSE,LONG,26941.0,1,184.70499999998145,5689682.770000001,,,-3.0,-150.0,-334.70499999998145,signal,1.0
2019-11-27 22:44:00,OPEN,LONG,26940.0,1,184.69999999998143,5689498.070000001,0.00041534820632375973,0.0011293974634646582,,,,,
2019-11-27 22:45:00,CLOSE,LONG,26943.0,1,184.71499999998144,5689463.355000001,,,3.0,150.0,-34.714999999981444,signal,2.0
2019-11-27 22:46:00,OPEN,SHORT,27010.0,1,185.0499999999815,5689278.305000002,-0.0012173976463086393,0.001108002680863596,,,,,
2019-11-27 22:47:00,CLOSE,SHORT,26942.0,1,184.70999999998145,5692493.595000002,,,68.0,3400.0,3215.2900000000186,reverse,0.0
2019-11-27 22:47:00,OPEN,LONG,26942.0,1,184.70999999998145,5692308.885000002,0.0006823537517966235,0.0017711100958929897,,,,,
2019-11-27 22:48:00,CLOSE,LONG,27012.0,1,185.0599999999815,5695623.825000002,,,70.0,3500.0,3314.9400000000187,reverse,0.0
2019-11-27 22:48:00,OPEN,SHORT,27012.0,1,185.0599999999815,5695438.765000002,-0.0016105615737020348,0.002114875325317721,,,,,
2019-11-27 22:50:00,CLOSE,SHORT,26951.0,1,184.75499999998146,5698304.010000003,,,61.0,3050.0,2865.2450000000185,reverse,0.0
2019-11-27 22:50:00,OPEN,LONG,26951.0,1,184.75499999998146,5698119.255000003,0.00031110416442902463,0.0024760219094628337,,,,,
2019-11-27 22:51:00,CLOSE,LONG,26948.0,1,184.73999999998142,5697784.515000002,,,-3.0,-150.0,-334.7399999999814,signal,1.0
2019-11-27 22:52:00,OPEN,SHORT,27017.0,1,185.0849999999815,5697599.4300000025,-0.0014767729983334924,0.002063514145813975,,,,,
2019-11-27 22:53:00,CLOSE,SHORT,26951.0,1,184.75499999998146,5700714.675000003,,,66.0,3300.0,3115.2450000000185,reverse,0.0
2019-11-27 22:53:00,OPEN,LONG,26951.0,1,184.75499999998146,5700529.920000003,0.0006009353840674602,0.0020488615408129503,,,,,
2019-11-27 22:55:00,CLOSE,LONG,26954.0,1,184.76999999998145,5700495.150000003,,,3.0,150.0,-34.76999999998145,signal,1.0
2019-11-27 22:56:00,OPEN,LONG,26953.0,1,184.76499999998148,5700310.3850000035,0.00041680049920775315,0.0017695188203975581,,,,,
2019-11-27 22:57:00,CLOSE,LONG,26957.0,1,184.78499999998147,5700325.600000003,,,4.0,200.0,15.215000000018534,signal,0.0
2019-11-27 22:59:00,OPEN,SHORT,27025.0,1,185.1249999999815,5700140.475000003,-0.0022357799253515703,0.0011348420739601694,,,,,
2019-11-27 23:03:00,CLOSE,SHORT,26958.0,1,184.78999999998143,5703305.685000003,,,67.0,3350.0,3165.2100000000187,reverse,0.0
2019-11-27 23:03:00,OPEN,LONG,26958.0,1,184.78999999998143,5703120.895000003,0.0003446847012019034,0.0017511349213528244,,,,,
2019-11-27 23:04:00,CLOSE,LONG,26961.0,1,184.80499999998145,5703086.090000004,,,3.0,150.0,-34.80499999998145,signal,1.0
2019-11-27 23:06:00,OPEN,SHORT,27018.0,1,185.0899999999815,5702901.000000004,-0.0013763540851795062,0.0016174285244019808,,,,,
2019-11-27 23:07:00,CLOSE,SHORT,27015.0,1,185.07499999998151,5702865.925000004,,,3.0,150.0,-35.074999999981515,signal,2.0
2019-11-27 23:08:00,OPEN,SHORT,27018.0,1,185.0899999999815,5702680.835000004,-0.0009818434833759263,0.000979885590482617,,,,,
2019-11-27 23:09:00,CLOSE,SHORT,26953.0,1,184.76499999998148,5705746.070000004,,,65.0,3250.0,3065.2350000000183,signal,0.0
2019-11-27 23:10:00,OPEN,SHORT,27024.0,1,185.1199999999815,5705560.950000004,-0.0013003974720526656,0.0017855217609066287,,,,,
2019-11-27 23:12:00,CLOSE,SHORT,26961.0,1,184.80499999998145,5708526.145000004,,,63.0,3150.0,2965.1950000000184,reverse,0.0
2019-11-27 23:12:00,OPEN,LONG,26961.0,1,184.80499999998145,5708341.3400000045,0.00042311137426469107,0.002094967941863659,,,,,
2019-11-27 23:13:00,CLOSE,LONG,27024.0,1,185.1199999999815,5711306.220000004,,,63.0,3150.0,2964.8800000000183,reverse,0.0
2019-11-27 23:13:00,OPEN,SHORT,27024.0,1,185.1199999999815,5711121.100000004,-0.0012011357503077225,0.0024385382520249995,,,,,
2019-11-27 23:14:00,CLOSE,SHORT,26961.0,1,184.80499999998145,5714086.295000005,,,63.0,3150.0,2965.1950000000184,signal,0.0
2019-11-27 23:15:00,OPEN,SHORT,27023.0,1,185.11499999998148,5713901.180000004,-0.0018616407001577756,0.002334134008979961,,,,,
2019-11-27 23:16:00,CLOSE,SHORT,26959.0,1,184.79499999998146,5716916.385000004,,,64.0,3200.0,3015.2050000000186,reverse,0.0
2019-11-27 23:16:00,OPEN,LONG,26959.0,1,184.79499999998146,5716731.5900000045,0.0004357879422378639,0.0025601847702514716,,,,,
2019-11-27 23:17:00,CLOSE,LONG,26962.0,1,184.80999999998144,5716696.780000005,,,3.0,150.0,-34.80999999998144,signal,1.0
2019-11-27 23:18:00,OPEN,SHORT,27024.0,1,185.1199999999815,5716511.660000005,-0.0018158313533493912,0.0023255282671632033,,,,,
2019-11-27 23:19:00,CLOSE,SHORT,26958.0,1,184.78999999998143,5719626.870000005,,,66.0,3300.0,3115.2100000000187,signal,0.0
2019-11-27 23:20:00,OPEN,SHORT,27025.0,1,185.1249999999815,5719441.745000005,-0.0019494172736320187,0.002400495707168109,,,,,
2019-11-27 23:25:00,CLOSE,SHORT,26960.0,1,184.79999999998145,5722506.945000005,,,65.0,3250.0,3065.2000000000185,signal,0.0
