trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
1110,2019-11-12 22:57:00,26931.0,1,1,23099.15,30.0,-360.0,190.0,2019-11-12 23:02:00,26924.0,model_exit,4619860.0
1111,2019-11-12 23:03:00,26916.0,1,1,23099.3,330.0,-560.0,790.0,2019-11-12 23:18:00,26935.0,model_exit,4620190.0
1112,2019-11-12 23:19:00,26939.0,1,1,23100.95,480.0,0.0,1240.0,2019-11-12 23:43:00,26939.0,model_exit,4620670.0
1113,2019-11-12 23:44:00,26944.0,1,1,23103.350000000002,1280.0,0.0,1440.0,2019-11-12 23:58:00,26972.0,model_exit,4621950.0
1114,2019-11-12 23:59:00,26970.0,1,1,23109.75,-220.0,-220.0,0.0,2019-11-13 00:00:00,26970.0,model_exit,4621730.0
1115,2019-11-13 00:01:00,26968.0,1,1,23108.65,680.0,-310.0,740.0,2019-11-13 00:15:00,26987.0,model_exit,4622410.0
1116,2019-11-13 00:16:00,26996.0,1,1,23112.05,230.0,0.0,490.0,2019-11-13 00:24:00,26987.0,model_exit,4622640.0
1117,2019-11-13 00:25:00,26978.0,1,1,23113.2,-1870.0,-1870.0,0.0,2019-11-13 00:34:00,26955.0,model_exit,4620770.0
1118,2019-11-13 00:35:00,26959.0,1,1,23103.850000000002,-270.0,-270.0,190.0,2019-11-13 00:38:00,26953.0,model_exit,4620500.0
1119,2019-11-13 00:39:00,26943.0,1,1,23102.5,-20.0,-560.0,40.0,2019-11-13 00:42:00,26952.0,model_exit,4620480.0
1120,2019-11-13 00:43:00,26955.0,-1,1,23102.4,430.0,-210.0,940.0,2019-11-13 00:50:00,26939.0,model_exit,4620910.0
1121,2019-11-13 00:51:00,26934.0,-1,1,23104.55,130.0,0.0,190.0,2019-11-13 00:52:00,26937.0,model_exit,4621040.0
1122,2019-11-13 00:53:00,26936.0,1,1,23105.2,-470.0,-470.0,0.0,2019-11-13 00:58:00,26927.0,model_exit,4620570.0
1123,2019-11-13 00:59:00,26929.0,1,1,23102.850000000002,630.0,0.0,690.0,2019-11-13 01:03:00,26941.0,model_exit,4621200.0
1124,2019-11-13 01:04:00,26937.0,-1,1,23106.0,-20.0,-20.0,140.0,2019-11-13 01:06:00,26930.0,model_exit,4621180.0
1125,2019-11-13 01:07:00,26938.0,-1,1,23105.9,-520.0,-520.0,0.0,2019-11-13 01:08:00,26934.0,model_exit,4620660.0
1126,2019-11-13 01:09:00,26941.0,-1,1,23103.3,-470.0,-470.0,0.0,2019-11-13 01:10:00,26939.0,model_exit,4620190.0
1127,2019-11-13 01:11:00,26949.0,-1,1,23100.95,-620.0,-620.0,0.0,2019-11-13 01:12:00,26951.0,model_exit,4619570.0
1128,2019-11-13 01:13:00,26951.0,-1,1,23097.850000000002,280.0,-60.0,440.0,2019-11-13 01:17:00,26937.0,model_exit,4619850.0
1129,2019-11-13 01:18:00,26937.0,1,1,23099.25,80.0,-310.0,140.0,2019-11-13 01:22:00,26937.0,model_exit,4619930.0
1130,2019-11-13 01:23:00,26938.0,-1,1,23099.65,-170.0,-170.0,0.0,2019-11-13 01:24:00,26937.0,model_exit,4619760.0
1131,2019-11-13 01:25:00,26941.0,-1,1,23098.8,-320.0,-320.0,0.0,2019-11-13 01:26:00,26947.0,model_exit,4619440.0
1132,2019-11-13 01:27:00,26940.0,-1,1,23097.2,130.0,0.0,290.0,2019-11-13 01:29:00,26944.0,model_exit,4619570.0
1133,2019-11-13 01:30:00,26944.0,-1,1,23097.850000000002,380.0,-160.0,440.0,2019-11-13 01:36:00,26941.0,model_exit,4619950.0
1134,2019-11-13 01:37:00,26943.0,1,1,23099.75,-1070.0,-1410.0,40.0,2019-11-13 01:53:00,26922.0,model_exit,4618880.0
1135,2019-11-13 01:54:00,26924.0,1,1,23094.4,930.0,0.0,990.0,2019-11-13 01:59:00,26945.0,model_exit,4619810.0
1136,2019-11-13 02:00:00,26946.0,1,1,23099.05,-120.0,-160.0,190.0,2019-11-13 02:07:00,26947.0,model_exit,4619690.0
1137,2019-11-13 02:08:00,26950.0,1,1,23098.45,-70.0,-70.0,390.0,2019-11-13 02:13:00,26951.0,model_exit,4619620.0
1138,2019-11-13 02:14:00,26947.0,1,1,23098.100000000002,-23920.0,-23920.0,0.0,2019-11-13 17:16:00,26481.0,stop_loss,4595700.0
1139,2019-11-13 17:36:00,26390.0,1,1,22978.5,-2020.0,-2060.0,0.0,2019-11-13 17:46:00,26372.0,model_exit,4593680.0
