trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
625,2019-12-03 10:09:00,26261.0,1,5,30011.75,2900.0,0.0,3200.0,2019-12-03 10:10:00,26253.0,model_exit,6005250.0
626,2019-12-03 10:17:00,26344.0,1,5,30026.25,8150.0,0.0,8450.0,2019-12-03 10:18:00,26358.0,model_exit,6013400.0
627,2019-12-03 10:20:00,26425.0,1,5,30067.0,19900.0,0.0,20200.0,2019-12-03 10:21:00,26373.0,model_exit,6033300.0
628,2019-12-03 10:25:00,26385.0,1,5,30166.5,-5350.0,-5350.0,0.0,2019-12-03 10:26:00,26392.0,model_exit,6027950.0
629,2019-12-03 10:27:00,26387.0,1,5,30139.75,-1850.0,-1850.0,0.0,2019-12-03 10:28:00,26390.0,model_exit,6026100.0
630,2019-12-03 10:31:00,26375.0,1,5,30130.5,-4850.0,-4850.0,0.0,2019-12-03 10:33:00,26364.0,model_exit,6021250.0
631,2019-12-03 10:34:00,26376.0,1,5,30106.25,2400.0,0.0,2700.0,2019-12-03 10:35:00,26370.0,model_exit,6023650.0
632,2019-12-03 10:36:00,26361.0,1,5,30118.25,-4850.0,-4850.0,0.0,2019-12-03 10:38:00,26353.0,model_exit,6018800.0
633,2019-12-03 10:39:00,26358.0,1,5,30094.0,2650.0,-50.0,2950.0,2019-12-03 10:42:00,26359.0,model_exit,6021450.0
634,2019-12-03 10:46:00,26370.0,1,5,30107.25,2650.0,0.0,2950.0,2019-12-03 10:47:00,26363.0,model_exit,6024100.0
635,2019-12-03 10:48:00,26378.0,1,5,30120.5,-850.0,-3800.0,7700.0,2019-12-03 10:54:00,26367.0,model_exit,6023250.0
636,2019-12-03 10:57:00,26351.0,1,5,30116.25,-2600.0,-2600.0,0.0,2019-12-03 10:58:00,26352.0,model_exit,6020650.0
637,2019-12-03 10:59:00,26348.0,1,5,30103.25,-2600.0,-2600.0,0.0,2019-12-03 11:01:00,26348.0,model_exit,6018050.0
638,2019-12-03 11:03:00,26345.0,1,5,30090.25,-1600.0,-1600.0,0.0,2019-12-03 11:04:00,26354.0,model_exit,6016450.0
639,2019-12-03 11:10:00,26412.0,1,5,30082.25,2900.0,0.0,3200.0,2019-12-03 11:11:00,26408.0,model_exit,6019350.0
640,2019-12-03 11:14:00,26410.0,1,5,30096.75,8400.0,0.0,8700.0,2019-12-03 11:20:00,26442.0,model_exit,6027750.0
641,2019-12-03 11:25:00,26449.0,-1,5,30138.75,150.0,0.0,450.0,2019-12-03 11:26:00,26442.0,model_exit,6027900.0
642,2019-12-03 11:27:00,26447.0,1,5,30139.5,1150.0,0.0,1450.0,2019-12-03 11:29:00,26447.0,model_exit,6029050.0
643,2019-12-03 11:32:00,26436.0,1,5,30145.25,-2350.0,-2350.0,0.0,2019-12-03 11:33:00,26424.0,model_exit,6026700.0
644,2019-12-03 11:34:00,26438.0,1,5,30133.5,7150.0,0.0,7450.0,2019-12-03 11:36:00,26450.0,model_exit,6033850.0
645,2019-12-03 11:38:00,26438.0,1,5,30169.25,1650.0,-1050.0,1950.0,2019-12-03 11:43:00,26456.0,model_exit,6035500.0
646,2019-12-03 11:45:00,26448.0,1,5,30177.5,650.0,0.0,950.0,2019-12-03 11:46:00,26453.0,model_exit,6036150.0
647,2019-12-03 11:47:00,26450.0,1,5,30180.75,1650.0,-1050.0,1950.0,2019-12-03 11:49:00,26451.0,model_exit,6037800.0
648,2019-12-03 11:50:00,26452.0,1,5,30189.0,-2100.0,-2100.0,3200.0,2019-12-03 11:56:00,26446.0,model_exit,6035700.0
649,2019-12-03 11:57:00,26446.0,1,5,30178.5,-6600.0,-6600.0,0.0,2019-12-03 13:01:00,26424.0,model_exit,6029100.0
650,2019-12-03 13:02:00,26428.0,1,5,30145.5,2400.0,0.0,2700.0,2019-12-03 13:04:00,26442.0,model_exit,6031500.0
651,2019-12-03 13:05:00,26429.0,1,5,30157.5,-3850.0,-5550.0,0.0,2019-12-03 13:11:00,26423.0,model_exit,6027650.0
652,2019-12-03 13:12:00,26412.0,1,5,30138.25,-3350.0,-3350.0,0.0,2019-12-03 13:13:00,26411.0,model_exit,6024300.0
653,2019-12-03 13:14:00,26415.0,1,5,30121.5,12900.0,0.0,13200.0,2019-12-03 13:16:00,26403.0,model_exit,6037200.0
654,2019-12-03 13:17:00,26410.0,1,5,30186.0,650.0,0.0,1450.0,2019-12-03 13:19:00,26407.0,model_exit,6037850.0
655,2019-12-03 13:20:00,26403.0,1,5,30189.25,-600.0,-1550.0,450.0,2019-12-03 13:26:00,26409.0,model_exit,6037250.0
656,2019-12-03 13:27:00,26405.0,1,5,30186.25,1900.0,-1300.0,2200.0,2019-12-03 13:32:00,26415.0,model_exit,6039150.0
657,2019-12-03 13:33:00,26416.0,1,5,30195.75,4650.0,-50.0,4950.0,2019-12-03 13:38:00,26430.0,model_exit,6043800.0
658,2019-12-03 13:39:00,26418.0,1,5,30219.0,-5350.0,-5350.0,0.0,2019-12-03 13:42:00,26404.0,model_exit,6038450.0
659,2019-12-03 13:43:00,26395.0,1,5,30192.25,-2850.0,-2850.0,0.0,2019-12-03 13:44:00,26389.0,model_exit,6035600.0
660,2019-12-03 13:45:00,26395.0,1,5,30178.0,900.0,0.0,1200.0,2019-12-03 13:46:00,26392.0,model_exit,6036500.0
661,2019-12-03 13:47:00,26389.0,1,5,30182.5,400.0,-1050.0,700.0,2019-12-03 13:54:00,26392.0,model_exit,6036900.0
662,2019-12-03 13:55:00,26401.0,1,5,30184.5,-100.0,-100.0,4700.0,2019-12-03 14:10:00,26398.0,model_exit,6036800.0
663,2019-12-03 14:11:00,26394.0,1,5,30184.0,-1600.0,-1600.0,0.0,2019-12-03 14:12:00,26405.0,model_exit,6035200.0
664,2019-12-03 14:14:00,26396.0,1,5,30176.0,-5100.0,-5100.0,200.0,2019-12-03 14:19:00,26381.0,model_exit,6030100.0
665,2019-12-03 14:20:00,26389.0,1,5,30150.5,2650.0,0.0,2950.0,2019-12-03 14:25:00,26392.0,model_exit,6032750.0
666,2019-12-03 14:26:00,26396.0,1,5,30163.75,3650.0,0.0,3950.0,2019-12-03 14:31:00,26407.0,model_exit,6036400.0
667,2019-12-03 14:32:00,26405.0,1,5,30182.0,-1100.0,-1100.0,0.0,2019-12-03 14:33:00,26398.0,model_exit,6035300.0
668,2019-12-03 14:34:00,26398.0,1,5,30176.5,-1850.0,-1850.0,0.0,2019-12-03 14:38:00,26391.0,model_exit,6033450.0
669,2019-12-03 14:39:00,26388.0,1,5,30167.25,-1350.0,-1350.0,0.0,2019-12-03 14:40:00,26385.0,model_exit,6032100.0
