timestamp,price,action,previous_position,position,trade_size,gross_pnl,cost,net_pnl,equity
2019-11-30 02:08:00,26407.0,2,1,1,0,-50.0,0.0,-50.0,4477730.0
2019-11-30 02:09:00,26398.0,2,1,1,0,-450.0,0.0,-450.0,4477280.0
2019-11-30 02:10:00,26399.0,2,1,1,0,50.0,0.0,50.0,4477330.0
2019-11-30 02:11:00,26398.0,2,1,1,0,-50.0,0.0,-50.0,4477280.0
2019-11-30 02:12:00,26393.0,2,1,1,0,-250.0,0.0,-250.0,4477030.0
2019-11-30 02:13:00,26398.0,2,1,1,0,250.0,0.0,250.0,4477280.0
2019-11-30 02:14:00,26392.0,2,1,1,0,-300.0,0.0,-300.0,4476980.0
2019-11-30 02:15:00,26391.0,2,1,1,0,-50.0,0.0,-50.0,4476930.0
2019-11-30 02:16:00,26390.0,2,1,1,0,-50.0,0.0,-50.0,4476880.0
2019-11-30 02:17:00,26385.0,2,1,1,0,-250.0,0.0,-250.0,4476630.0
2019-11-30 02:18:00,26388.0,2,1,1,0,150.0,0.0,150.0,4476780.0
2019-11-30 02:19:00,26392.0,2,1,1,0,200.0,0.0,200.0,4476980.0
2019-11-30 02:20:00,26393.0,2,1,1,0,50.0,0.0,50.0,4477030.0
2019-11-30 02:22:00,26393.0,2,1,1,0,0.0,0.0,0.0,4477030.0
2019-11-30 02:23:00,26391.0,2,1,1,0,-100.0,0.0,-100.0,4476930.0
2019-11-30 02:26:00,26387.0,2,1,1,0,-200.0,0.0,-200.0,4476730.0
2019-11-30 02:28:00,26387.0,2,1,1,0,0.0,0.0,0.0,4476730.0
2019-11-30 02:29:00,26385.0,2,1,1,0,-100.0,0.0,-100.0,4476630.0
2019-11-30 02:30:00,26388.0,2,1,1,0,150.0,0.0,150.0,4476780.0
2019-11-30 02:31:00,26388.0,2,1,1,0,0.0,0.0,0.0,4476780.0
2019-11-30 02:32:00,26389.0,2,1,1,0,50.0,0.0,50.0,4476830.0
2019-11-30 02:35:00,26386.0,2,1,1,0,-150.0,0.0,-150.0,4476680.0
2019-11-30 02:36:00,26389.0,2,1,1,0,150.0,0.0,150.0,4476830.0
2019-11-30 02:37:00,26389.0,2,1,1,0,0.0,0.0,0.0,4476830.0
2019-11-30 02:38:00,26389.0,2,1,1,0,0.0,0.0,0.0,4476830.0
2019-11-30 02:39:00,26386.0,2,1,1,0,-150.0,0.0,-150.0,4476680.0
2019-11-30 02:40:00,26386.0,2,1,1,0,0.0,0.0,0.0,4476680.0
2019-11-30 02:41:00,26383.0,2,1,1,0,-150.0,0.0,-150.0,4476530.0
2019-11-30 02:42:00,26383.0,2,1,1,0,0.0,0.0,0.0,4476530.0
2019-11-30 02:43:00,26386.0,2,1,1,0,150.0,0.0,150.0,4476680.0
2019-11-30 02:44:00,26386.0,2,1,1,0,0.0,0.0,0.0,4476680.0
2019-11-30 02:45:00,26377.0,2,1,1,0,-450.0,0.0,-450.0,4476230.0
2019-11-30 02:47:00,26381.0,0,1,-1,2,-200.0,120.0,-320.0,4475910.0
2019-11-30 02:48:00,26381.0,2,-1,1,2,0.0,120.0,-120.0,4475790.0
2019-11-30 02:49:00,26381.0,2,1,1,0,0.0,0.0,0.0,4475790.0
2019-11-30 02:50:00,26378.0,2,1,1,0,-150.0,0.0,-150.0,4475640.0
2019-11-30 02:52:00,26383.0,0,1,-1,2,-250.0,120.0,-370.0,4475270.0
2019-11-30 02:53:00,26379.0,0,-1,-1,0,200.0,0.0,200.0,4475470.0
2019-11-30 02:54:00,26378.0,0,-1,-1,0,50.0,0.0,50.0,4475520.0
2019-11-30 02:55:00,26381.0,0,-1,-1,0,-150.0,0.0,-150.0,4475370.0
2019-11-30 02:56:00,26380.0,0,-1,-1,0,50.0,0.0,50.0,4475420.0
2019-11-30 02:58:00,26383.0,2,-1,1,2,150.0,120.0,30.0,4475450.0
2019-11-30 02:59:00,26375.0,2,1,1,0,-400.0,0.0,-400.0,4475050.0
2019-12-02 17:15:00,26494.0,2,1,1,0,5950.0,0.0,5950.0,4481000.0
2019-12-02 17:16:00,26498.0,1,1,0,1,0.0,60.0,-60.0,4480940.0
2019-12-02 17:17:00,26497.0,2,0,1,1,-50.0,60.0,-110.0,4480830.0
2019-12-02 17:18:00,26491.0,2,1,1,0,-300.0,0.0,-300.0,4480530.0
2019-12-02 17:19:00,26489.0,2,1,1,0,-100.0,0.0,-100.0,4480430.0
2019-12-02 17:20:00,26489.0,2,1,1,0,0.0,0.0,0.0,4480430.0
2019-12-02 17:21:00,26484.0,2,1,1,0,-250.0,0.0,-250.0,4480180.0
2019-12-02 17:22:00,26481.0,2,1,1,0,-150.0,0.0,-150.0,4480030.0
2019-12-02 17:23:00,26481.0,2,1,1,0,0.0,0.0,0.0,4480030.0
2019-12-02 17:24:00,26485.0,2,1,1,0,200.0,0.0,200.0,4480230.0
2019-12-02 17:25:00,26484.0,2,1,1,0,-50.0,0.0,-50.0,4480180.0
2019-12-02 17:26:00,26480.0,2,1,1,0,-200.0,0.0,-200.0,4479980.0
2019-12-02 17:27:00,26474.0,2,1,1,0,-300.0,0.0,-300.0,4479680.0
2019-12-02 17:28:00,26476.0,2,1,1,0,100.0,0.0,100.0,4479780.0
